No. of Stiffeners (N),Stiffener Spacing (l) in mm,Stiffener Thickness (ts) in mm,Stiffener Height (hs) in mm,Stiffener Area in mm2,Buckling Strength MPa,,
3,222.25,37.30,4.00,149.21,0.8683,,
3,222.25,33.16,4.50,149.21,0.9005,,
3,222.25,29.84,5.00,149.21,0.9738,,
3,222.25,27.13,5.50,149.21,1.0581,,
3,222.25,24.87,6.00,149.21,1.1830,,
3,222.25,22.96,6.50,149.21,1.2798,,
3,222.25,21.32,7.00,149.21,1.3807,,
3,222.25,19.89,7.50,149.21,1.4497,,
3,222.25,18.65,8.00,149.21,1.4670,,
3,222.25,17.55,8.50,149.21,1.4690,,
3,222.25,16.58,9.00,149.21,1.4650,,
3,222.25,15.71,9.50,149.21,1.4640,,
3,222.25,14.92,10.00,149.21,1.4630,,
3,222.25,14.21,10.50,149.21,1.4610,,
3,222.25,13.56,11.00,149.21,1.4607,,
3,222.25,12.97,11.50,149.21,1.4597,,
3,222.25,12.43,12.00,149.21,1.4587,,
3,222.25,11.94,12.50,149.21,1.4578,,
3,222.25,11.48,13.00,149.21,1.4570,,
3,222.25,11.05,13.50,149.21,1.4562,,
