No. of Stiffeners (N),Stiffener Spacing (l) in mm,Stiffener Thickness (ts) in mm,Stiffener Height (hs) in mm,Stiffener Area in mm2,Buckling Strength MPa
3,222.25,37.30,4.00,149.21,0.8683
3,222.25,33.16,4.50,149.21,0.9005
3,222.25,29.84,5.00,149.21,0.9738
3,222.25,27.13,5.50,149.21,1.0581
3,222.25,24.87,6.00,149.21,1.1830
3,222.25,22.96,6.50,149.21,1.2798
3,222.25,21.32,7.00,149.21,1.3807
3,222.25,19.89,7.50,149.21,1.4497
3,222.25,18.65,8.00,149.21,1.4670
3,222.25,17.55,8.50,149.21,1.4690
3,222.25,16.58,9.00,149.21,1.4650
3,222.25,15.71,9.50,149.21,1.4640
3,222.25,14.92,10.00,149.21,1.4630
3,222.25,14.21,10.50,149.21,1.4610
3,222.25,13.56,11.00,149.21,1.4607
3,222.25,12.97,11.50,149.21,1.4597
3,222.25,12.43,12.00,149.21,1.4587
3,222.25,11.94,12.50,149.21,1.4578
3,222.25,11.48,13.00,149.21,1.4570
3,222.25,11.05,13.50,149.21,1.4562
5,148.17,22.21,4.00,88.84,0.8636
5,148.17,19.74,4.50,88.84,0.9203
5,148.17,17.77,5.00,88.84,1.0060
5,148.17,16.15,5.50,88.84,1.1030
5,148.17,14.81,6.00,88.84,1.2111
5,148.17,13.67,6.50,88.84,1.3343
5,148.17,12.69,7.00,88.84,1.4598
5,148.17,11.85,7.50,88.84,1.5849
5,148.17,11.11,8.00,88.84,1.7102
5,148.17,10.45,8.50,88.84,1.8793
5,148.17,9.87,9.00,88.84,2.0231
5,148.17,9.35,9.50,88.84,2.1712
5,148.17,8.88,10.00,88.84,2.1737
5,148.17,8.46,10.50,88.84,2.1740
5,148.17,8.08,11.00,88.84,2.1742
5,148.17,7.73,11.50,88.84,2.1743
5,148.17,7.40,12.00,88.84,2.1743
5,148.17,7.11,12.50,88.84,2.1743
5,148.17,6.83,13.00,88.84,2.1741
5,148.17,6.58,13.50,88.84,2.1739
7,111.13,15.97,4.00,63.89,0.8634
7,111.13,14.20,4.50,63.89,0.9306
7,111.13,12.78,5.00,63.89,1.0250
7,111.13,11.62,5.50,63.89,1.1321
7,111.13,10.65,6.00,63.89,1.2500
7,111.13,9.83,6.50,63.89,1.3841
7,111.13,9.13,7.00,63.89,1.5200
7,111.13,8.52,7.50,63.89,1.6545
7,111.13,7.99,8.00,63.89,1.7912
7,111.13,7.52,8.50,63.89,1.9819
7,111.13,7.10,9.00,63.89,2.1407
7,111.13,6.73,9.50,63.89,2.3056
7,111.13,6.39,10.00,63.89,2.4726
7,111.13,6.08,10.50,63.89,2.5769
7,111.13,5.81,11.00,63.89,2.7480
7,111.13,5.56,11.50,63.89,2.9207
7,111.13,5.32,12.00,63.89,3.0868
7,111.13,5.11,12.50,63.89,3.1902
7,111.13,4.91,13.00,63.89,3.2777
7,111.13,4.73,13.50,63.89,3.3128
9,88.90,12.59,4.00,50.34,0.8914
9,88.90,11.19,4.50,50.34,0.9671
9,88.90,10.07,5.00,50.34,1.0721
9,88.90,9.15,5.50,50.34,1.1893
9,88.90,8.39,6.00,50.34,1.3196
9,88.90,7.74,6.50,50.34,1.4670
9,88.90,7.19,7.00,50.34,1.6166
9,88.90,6.71,7.50,50.34,1.7652
9,88.90,6.29,8.00,50.34,1.9162
9,88.90,5.92,8.50,50.34,2.1313
9,88.90,5.59,9.00,50.34,2.3092
9,88.90,5.30,9.50,50.34,2.4944
9,88.90,5.03,10.00,50.34,2.6811
9,88.90,4.79,10.50,50.34,2.7945
9,88.90,4.58,11.00,50.34,2.9816
9,88.90,4.38,11.50,50.34,3.0840
9,88.90,4.20,12.00,50.34,3.1852
9,88.90,4.03,12.50,50.34,3.2882
9,88.90,3.87,13.00,50.34,3.3838
9,88.90,3.73,13.50,50.34,3.4847
11,74.08,10.44,4.00,34.02,0.9270
11,74.08,9.28,4.50,34.02,1.0131
11,74.08,8.35,5.00,34.02,1.1309
11,74.08,7.59,5.50,34.02,1.2633
11,74.08,6.96,6.00,34.02,1.4093
11,74.08,6.43,6.50,34.02,1.5755
11,74.08,5.97,7.00,34.02,1.7451
11,74.08,5.57,7.50,34.02,1.9147
11,74.08,5.22,8.00,34.02,2.0856
11,74.08,4.91,8.50,34.02,2.3372
11,74.08,4.64,9.00,34.02,2.5446
11,74.08,4.40,9.50,34.02,2.7513
11,74.08,4.18,10.00,34.02,2.8685
11,74.08,3.98,10.50,34.02,2.9706
11,74.08,3.80,11.00,34.02,3.0738
11,74.08,3.63,11.50,34.02,3.1826
11,74.08,3.48,12.00,34.02,3.2949
11,74.08,3.34,12.50,34.02,3.4066
11,74.08,3.21,13.00,34.02,3.5170
11,74.08,3.09,13.50,34.02,3.6254
17,49.39,6.55,4.00,26.19,0.9757
17,49.39,5.82,4.50,26.19,1.0727
17,49.39,5.24,5.00,26.19,1.2052
17,49.39,4.76,5.50,26.19,1.3529
17,49.39,4.37,6.00,26.19,1.5193
17,49.39,4.03,6.50,26.19,1.7070
17,49.39,3.74,7.00,26.19,1.8983
17,49.39,3.49,7.50,26.19,2.0904
17,49.39,3.27,8.00,26.19,2.2871
17,49.39,3.08,8.50,26.19,2.5796
17,49.39,2.91,9.00,26.19,2.7583
17,49.39,2.76,9.50,26.19,2.8578
17,49.39,2.62,10.00,26.19,2.9638
17,49.39,2.49,10.50,26.19,3.0723
17,49.39,2.38,11.00,26.19,3.1888
17,49.39,2.28,11.50,26.19,3.3100
17,49.39,2.18,12.00,26.19,3.4307
17,49.39,2.10,12.50,26.19,3.5627
17,49.39,2.01,13.00,26.19,3.6777
17,49.39,1.94,13.50,26.19,3.8033
