No. of Stiffeners (N),Stiffener Spacing (l) in mm,Stiffener Thickness (ts) in mm,Stiffener Height (hs) in mm,Stiffener Area in mm2,Buckling Strength MPa
3,222.25,37.30,4.00,149.21,0.8683
3,222.25,33.16,4.50,149.21,0.9005
3,222.25,29.84,5.00,149.21,0.9738
3,222.25,27.13,5.50,149.21,1.0581
3,222.25,24.87,6.00,149.21,1.1830
3,222.25,22.96,6.50,149.21,1.2798
3,222.25,21.32,7.00,149.21,1.3807
3,222.25,19.89,7.50,149.21,1.4497
3,222.25,18.65,8.00,149.21,1.4670
3,222.25,17.55,8.50,149.21,1.4690
3,222.25,16.58,9.00,149.21,1.4650
3,222.25,15.71,9.50,149.21,1.4640
3,222.25,14.92,10.00,149.21,1.4630
3,222.25,14.21,10.50,149.21,1.4610
3,222.25,13.56,11.00,149.21,1.4607
3,222.25,12.97,11.50,149.21,1.4597
3,222.25,12.43,12.00,149.21,1.4587
3,222.25,11.94,12.50,149.21,1.4578
3,222.25,11.48,13.00,149.21,1.4570
3,222.25,11.05,13.50,149.21,1.4562
5,148.17,22.21,4.00,88.84,0.8636
5,148.17,19.74,4.50,88.84,0.9203
5,148.17,17.77,5.00,88.84,1.0060
5,148.17,16.15,5.50,88.84,1.1030
5,148.17,14.81,6.00,88.84,1.2111
5,148.17,13.67,6.50,88.84,1.3343
5,148.17,12.69,7.00,88.84,1.4598
5,148.17,11.85,7.50,88.84,1.5849
5,148.17,11.11,8.00,88.84,1.7102
5,148.17,10.45,8.50,88.84,1.8793
5,148.17,9.87,9.00,88.84,2.0231
5,148.17,9.35,9.50,88.84,2.1712
5,148.17,8.88,10.00,88.84,2.1737
5,148.17,8.46,10.50,88.84,2.1740
5,148.17,8.08,11.00,88.84,2.1742
5,148.17,7.73,11.50,88.84,2.1743
5,148.17,7.40,12.00,88.84,2.1743
5,148.17,7.11,12.50,88.84,2.1743
5,148.17,6.83,13.00,88.84,2.1741
5,148.17,6.58,13.50,88.84,2.1739
7,111.13,15.97,4.00,63.89,0.8634
7,111.13,14.20,4.50,63.89,0.9306
7,111.13,12.78,5.00,63.89,1.0250
7,111.13,11.62,5.50,63.89,1.1321
7,111.13,10.65,6.00,63.89,1.2500
7,111.13,9.83,6.50,63.89,1.3841
7,111.13,9.13,7.00,63.89,1.5200
7,111.13,8.52,7.50,63.89,1.6545
7,111.13,7.99,8.00,63.89,1.7912
7,111.13,7.52,8.50,63.89,1.9819
7,111.13,7.10,9.00,63.89,2.1407
7,111.13,6.73,9.50,63.89,2.3056
7,111.13,6.39,10.00,63.89,2.4726
7,111.13,6.08,10.50,63.89,2.5769
7,111.13,5.81,11.00,63.89,2.7480
7,111.13,5.56,11.50,63.89,2.9207
7,111.13,5.32,12.00,63.89,3.0868
7,111.13,5.11,12.50,63.89,3.1902
7,111.13,4.91,13.00,63.89,3.2777
7,111.13,4.73,13.50,63.89,3.3128
9,88.90,12.59,4.00,50.34,0.8914
9,88.90,11.19,4.50,50.34,0.9671
9,88.90,10.07,5.00,50.34,1.0721
9,88.90,9.15,5.50,50.34,1.1893
9,88.90,8.39,6.00,50.34,1.3196
9,88.90,7.74,6.50,50.34,1.4670
9,88.90,7.19,7.00,50.34,1.6166
9,88.90,6.71,7.50,50.34,1.7652
9,88.90,6.29,8.00,50.34,1.9162
9,88.90,5.92,8.50,50.34,2.1313
9,88.90,5.59,9.00,50.34,2.3092
9,88.90,5.30,9.50,50.34,2.4944
9,88.90,5.03,10.00,50.34,2.6811
9,88.90,4.79,10.50,50.34,2.7945
9,88.90,4.58,11.00,50.34,2.9816
9,88.90,4.38,11.50,50.34,3.0840
9,88.90,4.20,12.00,50.34,3.1852
9,88.90,4.03,12.50,50.34,3.2882
9,88.90,3.87,13.00,50.34,3.3838
9,88.90,3.73,13.50,50.34,3.4847
11,74.08,10.44,4.00,41.77,0.9185
11,74.08,9.28,4.50,41.77,1.0012
11,74.08,8.35,5.00,41.77,1.1148
11,74.08,7.59,5.50,41.77,1.2416
11,74.08,6.96,6.00,41.77,1.3825
11,74.08,6.43,6.50,41.77,1.5432
11,74.08,5.97,7.00,41.77,1.7050
11,74.08,5.57,7.50,41.77,1.8661
11,74.08,5.22,8.00,41.77,2.0302
11,74.08,4.91,8.50,41.77,2.2665
11,74.08,4.64,9.00,41.77,2.4625
11,74.08,4.40,9.50,41.77,2.6655
11,74.08,4.18,10.00,41.77,2.8465
11,74.08,3.98,10.50,41.77,2.9509
11,74.08,3.80,11.00,41.77,3.0527
11,74.08,3.63,11.50,41.77,3.1559
11,74.08,3.48,12.00,41.77,3.2638
11,74.08,3.34,12.50,41.77,3.3743
11,74.08,3.21,13.00,41.77,3.4782
11,74.08,3.09,13.50,41.77,3.5842
13,63.50,8.51,4.00,34.02,0.9270
13,63.50,7.56,4.50,34.02,1.0131
13,63.50,6.80,5.00,34.02,1.1309
13,63.50,6.19,5.50,34.02,1.2633
13,63.50,5.67,6.00,34.02,1.4093
13,63.50,5.23,6.50,34.02,1.5755
13,63.50,4.86,7.00,34.02,1.7451
13,63.50,4.54,7.50,34.02,1.9147
13,63.50,4.25,8.00,34.02,2.0856
13,63.50,4.00,8.50,34.02,2.3372
13,63.50,3.78,9.00,34.02,2.5446
13,63.50,3.58,9.50,34.02,2.7513
13,63.50,3.40,10.00,34.02,2.8685
13,63.50,3.24,10.50,34.02,2.9706
13,63.50,3.09,11.00,34.02,3.0738
13,63.50,2.96,11.50,34.02,3.1826
13,63.50,2.84,12.00,34.02,3.2949
13,63.50,2.72,12.50,34.02,3.4066
13,63.50,2.62,13.00,34.02,3.5170
13,63.50,2.52,13.50,34.02,3.6254
17,49.39,6.55,4.00,26.19,0.9757
17,49.39,5.82,4.50,26.19,1.0727
17,49.39,5.24,5.00,26.19,1.2052
17,49.39,4.76,5.50,26.19,1.3529
17,49.39,4.37,6.00,26.19,1.5193
17,49.39,4.03,6.50,26.19,1.7070
17,49.39,3.74,7.00,26.19,1.8983
17,49.39,3.49,7.50,26.19,2.0904
17,49.39,3.27,8.00,26.19,2.2871
17,49.39,3.08,8.50,26.19,2.5796
17,49.39,2.91,9.00,26.19,2.7583
17,49.39,2.76,9.50,26.19,2.8578
17,49.39,2.62,10.00,26.19,2.9638
17,49.39,2.49,10.50,26.19,3.0723
17,49.39,2.38,11.00,26.19,3.1888
17,49.39,2.28,11.50,26.19,3.3100
17,49.39,2.18,12.00,26.19,3.4307
17,49.39,2.10,12.50,26.19,3.5627
17,49.39,2.01,13.00,26.19,3.6777
17,49.39,1.94,13.50,26.19,3.8033
3,222.25,2,74.61,149.21,1.394
3,222.25,3,49.74,149.21,1.413
3,222.25,4,37.3,149.21,1.427
3,222.25,5,29.84,149.21,1.435
3,222.25,6,24.87,149.21,1.44
3,222.25,7,21.32,149.21,1.444
3,222.25,8,18.65,149.21,1.447
3,222.25,9,16.58,149.21,1.449
3,222.25,10,14.92,149.21,1.451
3,222.25,11,13.56,149.21,1.453
3,222.25,12,12.43,149.21,1.455
3,222.25,13,11.48,149.21,1.457
3,222.25,14,10.66,149.21,1.459
3,222.25,15,9.95,149.21,1.46
3,222.25,16,9.33,149.21,1.462
3,222.25,17,8.78,149.21,1.463
3,222.25,18,8.29,149.21,1.465
3,222.25,19,7.85,149.21,1.466
3,222.25,20,7.46,149.21,1.423
3,222.25,21,7.11,149.21,1.351
3,222.25,22,6.78,149.21,1.282
3,222.25,23,6.49,149.21,1.222
3,222.25,24,6.22,149.21,1.169
3,222.25,25,5.97,149.21,1.12
3,222.25,26,5.74,149.21,1.084
3,222.25,27,5.53,149.21,1.047
3,222.25,28,5.33,149.21,1.015
3,222.25,29,5.15,149.21,0.991
3,222.25,30,4.97,149.21,0.958
3,222.25,31,4.81,149.21,0.933
3,222.25,32,4.66,149.21,0.917
3,222.25,33,4.52,149.21,0.909
3,222.25,34,4.39,149.21,0.897
3,222.25,35,4.26,149.21,0.886
3,222.25,36,4.14,149.21,0.885
3,222.25,37,4.03,149.21,0.88
3,222.25,38,3.93,149.21,0.871
3,222.25,39,3.83,149.21,0.864
3,222.25,40,3.73,149.21,0.859
